"text","emotion","polarity","Date"
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"us electionted cruz set to win republican kansas vote","neutral","positive",2016-03-10
"us senator ted cruz victorious in first ofmarchusvote election contests","neutral","negative",2016-03-10
"bbc uk news cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump the","joy","positive",2016-03-10
"cruz sets early pace in latest us polls ted cruz looks set to comfortably beat donald trump the kansas republ","joy","positive",2016-03-10
"cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump the kansas republ","joy","positive",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegateswichita kan apted cruz claimed an easy vic","neutral","neutral",2016-03-10
"you dummies voted for him","neutral","positive",2016-03-10
"help","neutral","positive",2016-03-10
"ted cruz wins kansas republican caucusesus media projections","neutral","positive",2016-03-10
"help","neutral","positive",2016-03-10
"check this out","neutral","positive",2016-03-10
"cruz victorious in first of five saturday election contests washingtonus senator ted cruz struck first in","neutral","negative",2016-03-10
"cruz victorious in first of five saturday election contests washingtonus senator ted cruz struck first in","neutral","negative",2016-03-10
"cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump the kansas republ","joy","positive",2016-03-10
"you dummies are voting for him","neutral","positive",2016-03-10
"bangkok postcruz victorious in first of five saturday election contests washingtonus senator ted cruz s","neutral","negative",2016-03-10
"cruz victorious in first of five saturday election contests washington afpus senator ted cruz struck fir","neutral","negative",2016-03-10
"dunyanews cruz victorious in first of five saturday election contests washington afpus senator ted cruz","neutral","negative",2016-03-10
"cruz victorious in first of five saturday election contests washington afpus senator ted cruz struck fir","neutral","negative",2016-03-10
"pakistan dunya cruz victorious in first of five saturday election contests washington afpus senator ted cruz struck first in","neutral","negative",2016-03-10
"cruz victorious in first of five saturday election contests washington afpus senator tedpakistan news","neutral","negative",2016-03-10
"pakistannews cruz victorious in first of five saturday election contests washington afpus senator ted","neutral","negative",2016-03-10
"cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump the kansas republ","joy","positive",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz cltcot tlot gop","neutral","negative",2016-03-10
"ap news guide cruz off to strong start in weekend races washington aprepublican ted cruz defeated donal","neutral","positive",2016-03-10
"ap news guide cruz off to strong start in weekend races washington aprepublican ted cruz defeated donal","neutral","positive",2016-03-10
"ap news guide cruz off to strong start in weekend races washington aprepublican ted cruz defeated donal","neutral","positive",2016-03-10
"ap news guide cruz off to strong start in weekend races washington aprepublican ted cruzbreakingnews","neutral","positive",2016-03-10
"bbc top stories gt cruz sets early pace in latest us pollsted cruz looks set to comfortably beat donald trump","surprise","positive",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz claimed anspbnews","neutral","negative",2016-03-10
"youdontsay cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz cl","neutral","negative",2016-03-10
"ap cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz claimed an eas","neutral","negative",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegates wichita kan apted cruz claimbreakingnews","neutral","negative",2016-03-10
"cruz wins kansas battles for ky in gop fight for delegates wichita kan apted c","neutral","negative",2016-03-10
